X,y_true
tabasco original,TABASCO Original Red Sauce
tabasco sauce,TABASCO Original Red Sauce
ben and jerrys chunky monkey,Ben & Jerry's Chunky Monkey Ice Cream
ben & jerrys phish food,Ben & Jerry's Phish Food Ice Cream
haagen dazs vanilla,Häagen-Dazs Vanilla Ice Cream
haagen dazs chocolate,Häagen-Dazs Chocolate Ice Cream
breyers natural vanilla,Breyers Natural Vanilla Ice Cream
quilted northern ultra plush,Quilted Northern Ultra Plush Toilet Paper
quilted northern toilet paper,Quilted Northern Ultra Plush Toilet Paper
angel soft toilet paper,Angel Soft Toilet Paper
angel soft bath tissue,Angel Soft Toilet Paper
scott toilet paper,Scott Toilet Paper
brawny paper towels,Brawny Paper Towels
sparkle paper towels,Sparkle Paper Towels
viva paper towels,Viva Paper Towels
cascade complete pods,Cascade Complete ActionPacs
cascade dishwasher pods,Cascade Complete ActionPacs
finish quantum pods,Finish Quantum Dishwasher Tablets
finish dishwasher tabs,Finish Quantum Dishwasher Tablets
swiffer wet jet,Swiffer WetJet Starter Kit
swiffer wetjet refill,Swiffer WetJet Refill Pads
swiffer duster,Swiffer Dusters Starter Kit
febreze air fresh linen,Febreze Air Fresh Linen
febreze air effects,Febreze Air Effects Fresh Linen
glade clean linen spray,Glade Clean Linen Air Freshener
glade plugins refill,Glade PlugIns Refill Clean Linen
air wick essential oils refill,Air Wick Essential Oils Refill
air wick plug in,Air Wick Essential Oils Plug In
duracell aa batteries,Duracell Coppertop AA Batteries
duracell aaa,Duracell Coppertop AAA Batteries
energizer aa,Energizer Max AA Batteries
energizer aaa batteries,Energizer Max AAA Batteries
glad tall kitchen bags,Glad Tall Kitchen Drawstring Bags
glad trash bags,Glad ForceFlex Trash Bags
hefty ultra strong,Hefty Ultra Strong Trash Bags
ziploc freezer gallon,Ziploc Freezer Gallon Bags
ziploc storage quart,Ziploc Storage Quart Bags
reynolds wrap aluminum foil,Reynolds Wrap Aluminum Foil
reynolds heavy duty foil,Reynolds Wrap Heavy Duty Foil
glad press n seal,Glad Press'n Seal Plastic Food Wrap
saran premium wrap,Saran Premium Plastic Food Wrap
dixie paper plates,Dixie Ultra Paper Plates
solo red cups,Solo Red Plastic Cups
red solo cups,Solo Red Plastic Cups
bounty napkins,Bounty Paper Napkins
vanity fair napkins,Vanity Fair Everyday Napkins
